,Standard system,Climate,,Water,,Chemistry,,Land,,Biodiversity,,Resource use & waste,,Human Rights,,Animal Welfare,,Integrity,
,,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"EU Organic Cotton
(Farm)",0,6,0,6,0,17,2,51,1,30,1,38,-,-,-,-,3,60
,"OCS
(Initial processing & Chain of Custody)",0,0,0,5,0,0,-,-,-,-,0,17,0,0,-,-,2,43
,"Water retted Flax with no standard system
(Farm)",0,1,0,4,0,0,0,3,0,0,1,22,0,0,-,-,3,60
MMCF,"Acetate FSC Certified (Forestry)
Acetate with no standard system (Pulping/Fiber)",0,9,0,11,0,17,4,84,1,38,1,21,0,11,-,-,4,89
,"Acetate PEFC Certified (Forestry)
Acetate with no standard system  (Pulping/Fiber)",0,11,0,6,0,16,3,74,1,23,1,20,0,7,-,-,4,89
,"Acetate with no standard system (Forestry)
Acetate with no standard system  (Pulping/Fiber)",0,0,0,2,0,0,0,0,0,0,0,17,0,0,-,-,0,0
,"Bamboo Viscose with no standard system (Forestry)
Bamboo Viscose with no standard system (Pulping/Fiber)",0,17,1,39,0,5,0,3,0,0,0,17,0,0,-,-,-,-
,"Lyocell FSC Certified (Forestry)
Lyocell with no standard system (Pulping/Fiber)",1,28,2,42,1,27,4,84,1,38,1,21,0,11,-,-,0,0
,"Lyocell PEFC Certified (Forestry)
Lyocell with no standard system (Pulping/Fiber)",1,31,1,37,1,26,3,74,1,23,1,20,0,7,-,-,3,79
,"Lyocell with no standard system  (Forestry)
Lyocell with no standard system (Pulping/Fiber)",1,20,1,33,0,10,0,0,0,0,0,17,0,0,-,-,3,79
,"Modal FSC Certified (Forestry)
Modal with no standard system (Pulping/Fiber)",0,14,1,38,1,23,4,84,1,38,1,21,0,11,-,-,0,0
,"Modal PEFC Certified (Forestry)
Modal with no standard system (Pulping/Fiber)",0,17,1,33,1,22,3,74,1,23,1,20,0,7,-,-,-,-
,"Modal with no standard system (Forestry)
Modal with no standard system (Pulping/Fiber)",0,6,1,29,0,6,0,0,0,0,0,17,0,0,-,-,0,0
,"Viscose FSC Certified (Forestry)
Viscose  with no standard system (Pulping/Fiber)",1,21,2,42,1,23,4,84,1,38,1,21,0,11,-,-,-,-
,"Viscose PEFC Certified (Forestry)
Viscose with no standard system (Pulping/Fiber)",1,24,1,37,1,22,3,74,1,23,1,20,0,7,-,-,-,-
,"Viscose with no standard system (Forestry)
Viscose with no standard system (Pulping/Fiber)",0,12,1,33,0,6,0,0,0,0,0,17,0,0,-,-,0,0
Wool,"EU Organic Wool (Farm)
GOTS (Initial processing & Chain of Custody)",0,8,0,14,1,23,2,48,1,30,2,40,0,12,2,56,2,54
,"EU Organic Cotton
(Farm)",0,6,0,6,0,17,2,48,1,30,1,38,-,-,2,56,2,43
,"GOTS
(Initial processing & Chain of Custody)",0,14,1,22,1,29,-,-,-,-,2,42,0,12,-,-,3,65
,"EU Organic Wool (Farm)
OCS (Initial processing & Chain of Custody)",0,3,0,5,0,9,2,48,1,30,1,27,0,0,2,56,3,60
,"EU Organic Cotton
(Farm)",0,6,0,6,0,0,2,48,1,30,1,38,-,-,2,56,2,43
,"OCS
(Initial processing & Chain of Custody)",0,0,0,5,0,0,-,-,-,-,0,17,0,0,-,-,3,77
,"Recycled Wool – GRS Certified
(Recycled materials & Chain of Custody)",2,45,2,53,0,0,-,-,-,-,2,54,0,10,-,-,3,77
,"Recycled Wool – RCS Certified
(Recycled materials & Chain of Custody)",1,30,1,39,0,0,-,-,-,-,0,13,0,0,-,-,3,77
,"Responsible Wool Standard
(Farm)",0,10,0,17,0,0,2,53,2,58,0,17,0,8,4,84,3,77
,"Wool with no standard system
(Farm)",0,0,0,4,0,0,0,2,0,0,0,17,0,0,0,0,-,-
